rainfall,humidity,sunshine,nitrogen,phosphorus,potassium,ph,yield
200,80,8,60,40,35,6.5,4.5
150,70,7,50,30,25,6.8,3.8
180,75,9,55,35,30,6.2,4.2
220,85,8,65,45,40,6.4,4.9
100,60,10,40,25,20,7.0,3.2
210,82,8,62,42,36,6.4,4.6
190,78,7,58,38,33,6.6,4.3
170,72,9,54,34,29,6.3,4.1
230,88,8,68,48,42,6.5,5.0
120,65,10,45,28,22,6.9,3.5
140,68,9,48,30,24,6.7,3.7
160,74,8,52,33,27,6.5,4.0
200,80,7,60,40,35,6.6,4.5
220,85,8,65,45,38,6.4,4.8
180,76,9,56,36,30,6.2,4.2
130,62,10,44,26,21,7.1,3.4
150,70,9,50,32,26,6.8,3.9
175,73,8,53,34,28,6.3,4.1
205,81,7,61,41,34,6.5,4.6
215,83,8,63,43,36,6.4,4.7
195,79,7,59,39,33,6.6,4.4
165,71,9,51,31,27,6.2,4.0
225,87,8,67,47,41,6.5,4.9
135,66,10,46,29,23,6.9,3.6
155,69,9,49,31,25,6.7,3.8
185,77,8,57,37,31,6.3,4.2
205,82,7,62,42,35,6.6,4.6
210,84,8,64,44,37,6.4,4.7
175,75,9,55,35,29,6.2,4.2
145,67,10,47,30,24,7.0,3.7
160,72,9,52,33,26,6.5,4.0
190,78,8,58,38,32,6.6,4.3
220,86,7,66,46,40,6.5,4.9
125,63,10,43,27,21,7.1,3.3
150,70,9,50,32,26,6.8,3.9
180,76,8,56,36,30,6.3,4.2
200,81,7,60,40,34,6.6,4.5
210,83,8,63,43,36,6.4,4.7
170,73,9,54,34,28,6.2,4.1
140,66,10,46,29,23,7.0,3.6
160,72,9,52,33,27,6.5,4.0
195,79,8,59,39,33,6.6,4.4
225,88,7,67,47,41,6.5,5.0
130,64,10,44,28,22,7.1,3.4
155,69,9,49,31,25,6.7,3.8
185,77,8,57,37,31,6.3,4.2
205,82,7,62,42,35,6.6,4.6
215,84,8,64,44,37,6.4,4.7
175,75,9,55,35,29,6.2,4.2
145,67,10,47,30,24,7.0,3.7
160,72,9,52,33,26,6.5,4.0
190,78,8,58,38,32,6.6,4.3
220,86,7,66,46,40,6.5,4.9
125,63,10,43,27,21,7.1,3.3
